center,left,right,steering,speed,throttle,brake
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_55_586.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_55_586.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_55_586.jpg,0,0,0,7.634742E-05
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_55_663.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_55_663.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_55_663.jpg,0,0,0,9.763674E-05
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_55_741.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_55_741.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_55_741.jpg,0,0,0,0.0001136376
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_55_817.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_55_817.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_55_817.jpg,0,0,0,0.0001349616
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_55_908.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_55_908.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_55_908.jpg,0,0.2636556,0,0.2157938
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_55_977.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_55_977.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_55_977.jpg,0,0.4657697,0,0.5227372
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_053.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_053.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_053.jpg,0,0.6918335,0,1.140708
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_132.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_132.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_132.jpg,0,0.9304445,0,1.969126
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_206.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_206.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_206.jpg,0,1,0,2.893477
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_282.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_282.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_282.jpg,0,1,0,3.833596
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_360.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_360.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_360.jpg,0,1,0,4.536276
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_439.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_439.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_439.jpg,0,1,0,5.465653
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_514.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_514.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_514.jpg,0,1,0,6.387804
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_595.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_595.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_595.jpg,0,1,0,7.302753
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_673.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_673.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_673.jpg,0,1,0,8.210473
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_828.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_828.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_828.jpg,0,1,0,10.0051
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_907.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_907.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_907.jpg,0,1,0,10.89178
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_56_984.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_56_984.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_56_984.jpg,0,1,0,11.60739
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_073.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_073.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_073.jpg,0,1,0,12.6237
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_145.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_145.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_145.jpg,0,1,0,13.45617
